ID,Name,Department,Status
1,User_8030,IT,Inactive
2,User_2481,Finance,Pending
3,User_7531,Finance,Pending
4,User_6348,IT,Active
5,User_3894,Security,Inactive
6,User_6473,Security,Pending
7,User_8455,Security,Inactive
8,User_2377,IT,Inactive
9,User_7709,HR,Inactive
10,User_5150,IT,Inactive
11,User_4686,IT,Active
12,User_6183,IT,Active
13,User_9856,Security,Pending
14,User_4702,Security,Inactive
15,User_5370,Security,Pending
16,User_7276,Security,Inactive
17,User_7196,Security,Active
18,User_3443,Finance,Active
